,T_ratio,h_mid,p,f,h_atm,theta_min,NX,NY,NZ
0,2.004301580134779,0.13143679723143575,1.201603191671893,0.3508015958359465,0.726643767359472,1.0450491378691535,478,268,40
1,2.7721736868843436,0.09374944204464555,1.1246836718637496,0.3123418359318748,0.8487988505700316,1.1957985586163145,670,375,39
2,2.261352038476616,0.10101611111313105,1.1816175219137222,0.3408087609568611,0.7187262377592007,1.1667318823423725,621,348,39
3,1.489516424946487,0.07387105328962207,1.0079572673421353,0.25397863367106766,0.4048390921477102,1.2753121136364083,850,476,40
4,1.3259400285314769,0.1214978196658194,1.0890440305229276,0.2945220152614638,0.46217678140278723,1.084805048131619,517,290,40
5,2.5343026558402926,0.053340188413858416,1.2294401081744581,0.3647200540872291,0.5853097403353428,1.357435573139463,1177,659,39
6,2.936723072780296,0.13981218291446568,1.0436047764960676,0.2718023882480338,1.0980838483525008,1.0115475951370339,449,252,40
7,1.7303779798094183,0.08532490078359842,1.1537884732242674,0.3268942366121337,0.5054507854539172,1.2294967236605028,736,412,40
8,1.808509556343779,0.109094194509089,1.0477748301345855,0.27388741506729275,0.597340041768512,1.1344195487585407,575,323,39
9,2.7900184851605445,0.06592131657525897,1.1261897112708539,0.31309485563542694,0.7163413431981638,1.3071110604938607,953,533,39
10,2.4263689757790416,0.1272040896117687,1.0697136248927563,0.28485681244637817,0.8653810510731282,1.0619799683478217,493,277,40
11,1.4477591936010867,0.09770766431465744,1.2409629907924682,0.3704814953962341,0.45254382920362196,1.1799656695362668,643,360,40
12,1.6122952247969806,0.1438314224593341,1.1618219616357237,0.33091098081786186,0.6114647919624031,0.9954706369575601,436,245,40
13,2.1524587236344814,0.08112882021814585,1.0199305226560682,0.2599652613280341,0.6130874303909336,1.2462810459223133,774,433,39
14,2.6264287340454757,0.11360910022631288,1.2053080906625837,0.35265404533129185,0.8852627312833293,1.116359925889645,553,310,40
15,2.081473521888256,0.06145489886403084,1.097535282606259,0.2987676413031295,0.5159993384268698,1.3249767313387733,1022,572,39
16,2.0466719118412584,0.11694965660572051,1.1350798911880702,0.3175399455940351,0.6999188740803507,1.1029977003720144,537,301,40
17,2.5928683907259256,0.058157214615494016,1.0581603155005723,0.27908015775028616,0.6252911362767329,1.3381674683329206,1080,604,39
18,2.187781069194898,0.14747257698327304,1.2479038641322404,0.3739519320661202,0.8401551516528317,0.9809060188618044,426,239,40
19,1.645334891276434,0.07734743235632777,1.0742435462307185,0.28712177311535925,0.4575907725490843,1.2614065973695854,812,455,40
20,1.3715180470608175,0.1297218577004969,1.030323633691296,0.265161816845648,0.49397856745222835,1.0519088959929088,484,272,40
21,2.35222358815372,0.09514663964509965,1.1707197746727616,0.3353598873363808,0.7255633345887024,1.190209768214498,660,370,39
22,2.8659258685074747,0.11209261445328593,1.1020728370640427,0.30103641853202134,0.9595187195017445,1.1224258689817528,560,314,40
23,1.882988752797246,0.06306274551898242,1.2122565896715969,0.35612829483579844,0.47286172604461424,1.318545344718967,996,557,39
24,1.7656569299288094,0.14232437182217836,1.114046360598877,0.30702318029943854,0.6661100115844751,1.001498839506183,441,248,40
25,2.9697994524613023,0.08275829730555415,1.1924612976145,0.34623064880724996,0.8543442409312688,1.2397631375726799,759,425,40
26,2.4995711375959218,0.12450286746025085,1.0031755126547068,0.2515877563273534,0.881972772556067,1.0727848569538931,504,283,40
27,1.2923162626102567,0.0504882455803454,1.1744249418843538,0.3372124709421769,0.2903781602581835,1.368843344473515,1244,696,39
28,1.5653870950918645,0.10436262814328073,1.2203058472368866,0.3601529236184433,0.5057015128606271,1.1533458142217736,602,337,40
29,2.3358746303711087,0.07057932931929826,1.078414344927296,0.289207172463648,0.6205664515120783,1.2884790095177034,890,498,40
30,2.6959959629457444,0.13507170537486674,1.14660351886414,0.32330175943206996,0.9908352054114585,1.0305095052954296,465,261,40
31,1.9300861007068306,0.0899618074297905,1.0388306549284607,0.26941532746423036,0.5789029589270072,1.2109490970757346,698,391,40
32,1.9580758586525917,0.10302113834768534,1.0660396148450673,0.28301980742253363,0.6284817704153637,1.1587117734041552,609,342,40
33,2.722697104793042,0.07196984244510532,1.2365870652720332,0.3682935326360166,0.7304232782487075,1.2829169570144754,873,488,39
34,2.304053168743849,0.13333806172013282,1.0508690355345607,0.27543451776728034,0.8413361805222446,1.0374440799143652,471,264,40
